Category,Hashtag,Popularity,Platform_Best,Usage_Notes
Geral,#InstaFitness,High,IG,Instagram fitness
Geral,#InstaHealth,Medium,IG,Insta saúde
Geral,#FitnessInfluencer,Low,IG/LI,Influenciador
Geral,#PersonalTrainerLife,Low,IG/LI,Vida PT
Geral,#PTLife,Low,IG/LI,Vida PT
Geral,#OnlineCoach,Medium,IG/LI,Coach online
Geral,#FitnessCoach,High,IG/LI,Coach fitness
Geral,#StrengthTraining,High,IG,Treino força
Geral,#WeightLifting,Medium,IG,Levantamento peso
Geral,#PowerLifting,Medium,IG,Powerlifting
Geral,#BodyWeight,Medium,IG,Peso corporal
Geral,#BodyWeightTraining,Medium,IG,Treino peso corporal
Específico_TD,#DEPENDE,Brand,All,Resposta assinatura TD
Específico_TD,#TreinadorDavidMethod,Brand,All,Método TD
Específico_TD,#MarineToTrainer,Brand,IG/LI,História transformação
Específico_TD,#FitnessComCiencia,Brand,IG/FB,Science-based
Específico_TD,#TDArmy,Brand,All,Comunidade TD
Específico_TD,#TreinadorDavidTeam,Brand,IG/FB,Time TD
Específico_TD,#TDTransformations,Brand,IG,Transformações clientes
Específico_TD,#TreinadorDavidOnline,Brand,IG/YT,Programa online
Específico_TD,#SegueoTD,Brand,All,Call to action
Específico_TD,#TimeTD,Brand,IG/FB,Equipe TD
YouTube,#FitnessYouTube,Medium,YT,YouTube fitness
YouTube,#TreinoYouTube,Medium,YT,Treino YouTube
YouTube,#YouTubeFitness,Medium,YT,YT fitness
YouTube,#FitnessBR,High,YT,BR fitness
YouTube,#ExerciciosYouTube,Medium,YT,Exercises YT
TikTok,#FitnessTikTok,High,TT,TikTok fitness
TikTok,#TikTokFitness,High,TT,Fitness TT
TikTok,#TreinoTikTok,High,TT,Treino TT
TikTok,#FitnessChallenge,High,TT,Desafio
TikTok,#WorkoutChallenge,High,TT,Desafio treino
TikTok,#FitCheck,High,TT,Verificação forma
TikTok,#GymTok,High,TT,Gym TikTok
LinkedIn,#FitnessProfessional,Medium,LI,Profissional fitness
LinkedIn,#HealthCoach,Medium,LI,Coach saúde
LinkedIn,#PersonalTrainerBusiness,Low,LI,Negócio PT
LinkedIn,#FitnessEntrepreneur,Low,LI,Empreendedor fitness
LinkedIn,#FitnessIndustry,Low,LI,Indústria fitness
LinkedIn,#OnlineFitnessCoaching,Medium,LI,Coaching online
Sazonais,#AnoNovo,Seasonal,All,Janeiro
Sazonais,#MetasAnoNovo,Seasonal,All,Janeiro metas
Sazonais,#NewYearNewMe,Seasonal,All,Janeiro
Sazonais,#VeraoChegando,Seasonal,IG/FB,Outubro-Dezembro
Sazonais,#ProjetoVerao,Seasonal,IG/FB,Setembro-Dezembro
Sazonais,#SummerBody,Seasonal,IG,Verão
Sazonais,#BeachBody,Seasonal,IG,Corpo praia
Sazonais,#FitnessChallenge30Dias,Recurring,All,Desafios mensais
Engajamento,#SalveEstePost,High,IG,Save this
Engajamento,#CompartilheComAmigo,High,IG/FB,Share with friend
Engajamento,#MarcaUmAmigo,High,IG/FB,Tag a friend
Engajamento,#ComentaAqui,High,IG/FB,Comment here
Engajamento,#DupliqueSeguir,Medium,IG,Double tap
Engajamento,#SigaParaMais,High,All,Follow for more
