ID,Artigo,Categoria,Tipo,Keywords,Status,Data_Publicacao,Semana,Palavra-chave_Principal,URL_Slug
46,Emagrecimento - Artigo 16,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-15,8,[KEYWORD_46],emagrecimento-16
47,Emagrecimento - Artigo 17,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-16,8,[KEYWORD_47],emagrecimento-17
48,Emagrecimento - Artigo 18,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-17,8,[KEYWORD_48],emagrecimento-18
49,Emagrecimento - Artigo 19,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-18,9,[KEYWORD_49],emagrecimento-19
50,Emagrecimento - Artigo 20,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-19,9,[KEYWORD_50],emagrecimento-20
51,Emagrecimento - Artigo 21,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-20,9,[KEYWORD_51],emagrecimento-21
52,Emagrecimento - Artigo 22,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-21,9,[KEYWORD_52],emagrecimento-22
53,Emagrecimento - Artigo 23,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-22,9,[KEYWORD_53],emagrecimento-23
54,Emagrecimento - Artigo 24,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-23,9,[KEYWORD_54],emagrecimento-24
55,Emagrecimento - Artigo 25,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-24,10,[KEYWORD_55],emagrecimento-25
56,Emagrecimento - Artigo 26,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-25,10,[KEYWORD_56],emagrecimento-26
57,Emagrecimento - Artigo 27,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-26,10,[KEYWORD_57],emagrecimento-27
58,Emagrecimento - Artigo 28,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-27,10,[KEYWORD_58],emagrecimento-28
59,Emagrecimento - Artigo 29,Emagrecimento e Perda de Gordura,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-28,10,[KEYWORD_59],emagrecimento-29
60,Emagrecimento - Artigo 30,Emagrecimento e Perda de Gordura,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-29,10,[KEYWORD_60],emagrecimento-30
61,Força - Artigo 01,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-01-30,11,[KEYWORD_61],forca-01
62,Força - Artigo 02,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-01-31,11,[KEYWORD_62],forca-02
63,Força - Artigo 03,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-01,11,[KEYWORD_63],forca-03
64,Força - Artigo 04,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-02,11,[KEYWORD_64],forca-04
65,Força - Artigo 05,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-03,11,[KEYWORD_65],forca-05
66,Força - Artigo 06,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-04,11,[KEYWORD_66],forca-06
67,Força - Artigo 07,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-05,12,[KEYWORD_67],forca-07
68,Força - Artigo 08,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-06,12,[KEYWORD_68],forca-08
69,Força - Artigo 09,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-07,12,[KEYWORD_69],forca-09
70,Força - Artigo 10,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-08,12,[KEYWORD_70],forca-10
71,Força - Artigo 11,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-09,12,[KEYWORD_71],forca-11
72,Força - Artigo 12,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-10,12,[KEYWORD_72],forca-12
73,Força - Artigo 13,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-11,13,[KEYWORD_73],forca-13
74,Força - Artigo 14,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-12,13,[KEYWORD_74],forca-14
75,Força - Artigo 15,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-13,13,[KEYWORD_75],forca-15
76,Força - Artigo 16,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-14,13,[KEYWORD_76],forca-16
77,Força - Artigo 17,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-15,13,[KEYWORD_77],forca-17
78,Força - Artigo 18,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-16,13,[KEYWORD_78],forca-18
79,Força - Artigo 19,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-17,14,[KEYWORD_79],forca-19
80,Força - Artigo 20,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-18,14,[KEYWORD_80],forca-20
81,Força - Artigo 21,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-19,14,[KEYWORD_81],forca-21
82,Força - Artigo 22,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-20,14,[KEYWORD_82],forca-22
83,Força - Artigo 23,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-21,14,[KEYWORD_83],forca-23
84,Força - Artigo 24,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-22,14,[KEYWORD_84],forca-24
85,Força - Artigo 25,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-23,15,[KEYWORD_85],forca-25
86,Força - Artigo 26,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-24,15,[KEYWORD_86],forca-26
87,Força - Artigo 27,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-25,15,[KEYWORD_87],forca-27
88,Força - Artigo 28,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-26,15,[KEYWORD_88],forca-28
89,Força - Artigo 29,Treino de Força e Powerlifting,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-02-27,15,[KEYWORD_89],forca-29
90,Força - Artigo 30,Treino de Força e Powerlifting,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-02-28,15,[KEYWORD_90],forca-30
91,Funcional - Artigo 01,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-01,16,[KEYWORD_91],funcional-01
92,Funcional - Artigo 02,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-02,16,[KEYWORD_92],funcional-02
93,Funcional - Artigo 03,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-03,16,[KEYWORD_93],funcional-03
94,Funcional - Artigo 04,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-04,16,[KEYWORD_94],funcional-04
95,Funcional - Artigo 05,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-05,16,[KEYWORD_95],funcional-05
96,Funcional - Artigo 06,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-06,16,[KEYWORD_96],funcional-06
97,Funcional - Artigo 07,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-07,17,[KEYWORD_97],funcional-07
98,Funcional - Artigo 08,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-08,17,[KEYWORD_98],funcional-08
99,Funcional - Artigo 09,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-09,17,[KEYWORD_99],funcional-09
100,Funcional - Artigo 10,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-10,17,[KEYWORD_100],funcional-10
101,Funcional - Artigo 11,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-11,17,[KEYWORD_101],funcional-11
102,Funcional - Artigo 12,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-12,17,[KEYWORD_102],funcional-12
103,Funcional - Artigo 13,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-13,18,[KEYWORD_103],funcional-13
104,Funcional - Artigo 14,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-14,18,[KEYWORD_104],funcional-14
105,Funcional - Artigo 15,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-15,18,[KEYWORD_105],funcional-15
106,Funcional - Artigo 16,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-16,18,[KEYWORD_106],funcional-16
107,Funcional - Artigo 17,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-17,18,[KEYWORD_107],funcional-17
108,Funcional - Artigo 18,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-18,18,[KEYWORD_108],funcional-18
109,Funcional - Artigo 19,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-19,19,[KEYWORD_109],funcional-19
110,Funcional - Artigo 20,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-20,19,[KEYWORD_110],funcional-20
111,Funcional - Artigo 21,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-21,19,[KEYWORD_111],funcional-21
112,Funcional - Artigo 22,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-22,19,[KEYWORD_112],funcional-22
113,Funcional - Artigo 23,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-23,19,[KEYWORD_113],funcional-23
114,Funcional - Artigo 24,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-24,19,[KEYWORD_114],funcional-24
115,Funcional - Artigo 25,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-25,20,[KEYWORD_115],funcional-25
116,Funcional - Artigo 26,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-26,20,[KEYWORD_116],funcional-26
117,Funcional - Artigo 27,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-27,20,[KEYWORD_117],funcional-27
118,Funcional - Artigo 28,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-28,20,[KEYWORD_118],funcional-28
119,Funcional - Artigo 29,Treino Funcional e Mobilidade,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-29,20,[KEYWORD_119],funcional-29
120,Funcional - Artigo 30,Treino Funcional e Mobilidade,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-03-30,20,[KEYWORD_120],funcional-30
121,Periodização - Artigo 01,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-03-31,21,[KEYWORD_121],periodizacao-01
122,Periodização - Artigo 02,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-01,21,[KEYWORD_122],periodizacao-02
123,Periodização - Artigo 03,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-02,21,[KEYWORD_123],periodizacao-03
124,Periodização - Artigo 04,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-03,21,[KEYWORD_124],periodizacao-04
125,Periodização - Artigo 05,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-04,21,[KEYWORD_125],periodizacao-05
126,Periodização - Artigo 06,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-05,21,[KEYWORD_126],periodizacao-06
127,Periodização - Artigo 07,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-06,22,[KEYWORD_127],periodizacao-07
128,Periodização - Artigo 08,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-07,22,[KEYWORD_128],periodizacao-08
129,Periodização - Artigo 09,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-08,22,[KEYWORD_129],periodizacao-09
130,Periodização - Artigo 10,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-09,22,[KEYWORD_130],periodizacao-10
131,Periodização - Artigo 11,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-10,22,[KEYWORD_131],periodizacao-11
132,Periodização - Artigo 12,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-11,22,[KEYWORD_132],periodizacao-12
133,Periodização - Artigo 13,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-12,23,[KEYWORD_133],periodizacao-13
134,Periodização - Artigo 14,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-13,23,[KEYWORD_134],periodizacao-14
135,Periodização - Artigo 15,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-14,23,[KEYWORD_135],periodizacao-15
136,Periodização - Artigo 16,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-15,23,[KEYWORD_136],periodizacao-16
137,Periodização - Artigo 17,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-16,23,[KEYWORD_137],periodizacao-17
138,Periodização - Artigo 18,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-17,23,[KEYWORD_138],periodizacao-18
139,Periodização - Artigo 19,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-18,24,[KEYWORD_139],periodizacao-19
140,Periodização - Artigo 20,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-19,24,[KEYWORD_140],periodizacao-20
141,Periodização - Artigo 21,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-20,24,[KEYWORD_141],periodizacao-21
142,Periodização - Artigo 22,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-21,24,[KEYWORD_142],periodizacao-22
143,Periodização - Artigo 23,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-22,24,[KEYWORD_143],periodizacao-23
144,Periodização - Artigo 24,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-23,24,[KEYWORD_144],periodizacao-24
145,Periodização - Artigo 25,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-24,25,[KEYWORD_145],periodizacao-25
146,Periodização - Artigo 26,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-25,25,[KEYWORD_146],periodizacao-26
147,Periodização - Artigo 27,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-26,25,[KEYWORD_147],periodizacao-27
148,Periodização - Artigo 28,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-27,25,[KEYWORD_148],periodizacao-28
149,Periodização - Artigo 29,Periodização e Programação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-28,25,[KEYWORD_149],periodizacao-29
150,Periodização - Artigo 30,Periodização e Programação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-04-29,25,[KEYWORD_150],periodizacao-30
151,Psicologia - Artigo 01,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-04-30,26,[KEYWORD_151],psicologia-01
152,Psicologia - Artigo 02,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-01,26,[KEYWORD_152],psicologia-02
153,Psicologia - Artigo 03,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-02,26,[KEYWORD_153],psicologia-03
154,Psicologia - Artigo 04,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-03,26,[KEYWORD_154],psicologia-04
155,Psicologia - Artigo 05,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-04,26,[KEYWORD_155],psicologia-05
156,Psicologia - Artigo 06,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-05,26,[KEYWORD_156],psicologia-06
157,Psicologia - Artigo 07,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-06,27,[KEYWORD_157],psicologia-07
158,Psicologia - Artigo 08,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-07,27,[KEYWORD_158],psicologia-08
159,Psicologia - Artigo 09,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-08,27,[KEYWORD_159],psicologia-09
160,Psicologia - Artigo 10,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-09,27,[KEYWORD_160],psicologia-10
161,Psicologia - Artigo 11,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-10,27,[KEYWORD_161],psicologia-11
162,Psicologia - Artigo 12,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-11,27,[KEYWORD_162],psicologia-12
163,Psicologia - Artigo 13,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-12,28,[KEYWORD_163],psicologia-13
164,Psicologia - Artigo 14,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-13,28,[KEYWORD_164],psicologia-14
165,Psicologia - Artigo 15,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-14,28,[KEYWORD_165],psicologia-15
166,Psicologia - Artigo 16,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-15,28,[KEYWORD_166],psicologia-16
167,Psicologia - Artigo 17,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-16,28,[KEYWORD_167],psicologia-17
168,Psicologia - Artigo 18,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-17,28,[KEYWORD_168],psicologia-18
169,Psicologia - Artigo 19,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-18,29,[KEYWORD_169],psicologia-19
